parola_chiave,categoria,intento,tipo
tariffe luce,tariffe luce,commerciale,short-tail
bolletta luce,tariffe luce,informazionale,short-tail
prezzo luce 2025,tariffe luce,informazionale,long-tail
costo luce kwh,tariffe luce,informazionale,long-tail
offerte luce migliori 2025,tariffe luce,commerciale,long-tail
confronto offerte luce,tariffe luce,commerciale,long-tail
luce tasso fisso,tariffe luce,commerciale,long-tail
luce prezzo variabile,tariffe luce,commerciale,long-tail
luce indicizzata PUN,tariffe luce,informazionale,long-tail
tutele graduali luce,tariffe luce,informazionale,long-tail
maggior tutela energia,tariffe luce,informazionale,long-tail
mercato libero luce,tariffe luce,informazionale,short-tail
mercato tutelato luce,tariffe luce,informazionale,short-tail
passaggio mercato libero luce,tariffe luce,informazionale,long-tail
risparmiare bolletta luce,tariffe luce,informazionale,long-tail
ridurre consumo elettricità,tariffe luce,informazionale,long-tail
consumo medio luce famiglia,tariffe luce,informazionale,long-tail
luce kwh medio mensile,tariffe luce,informazionale,long-tail
bonus luce 2025,tariffe luce,informazionale,long-tail
bonus sociale luce,tariffe luce,informazionale,long-tail
tariffe gas,tariffe gas,commerciale,short-tail
bolletta gas,tariffe gas,informazionale,short-tail
prezzo gas 2025,tariffe gas,informazionale,long-tail
offerte gas migliori 2025,tariffe gas,commerciale,long-tail
confronto offerte gas,tariffe gas,commerciale,long-tail
gas prezzo fisso,tariffe gas,commerciale,long-tail
gas prezzo variabile,tariffe gas,commerciale,long-tail
gas indicizzato PSV,tariffe gas,informazionale,long-tail
gas metano costo metro cubo,tariffe gas,informazionale,long-tail
risparmio bolletta gas,tariffe gas,informazionale,long-tail
gas mercato libero,tariffe gas,informazionale,short-tail
cambio fornitore gas,tariffe gas,informazionale,long-tail
bonus gas 2025,tariffe gas,informazionale,long-tail
bonus sociale gas,tariffe gas,informazionale,long-tail
consumi medi gas famiglia,tariffe gas,informazionale,long-tail
contatore gas lettura,tariffe gas,informazionale,long-tail
gas naturale liquefatto,tariffe gas,informazionale,short-tail
differenza gas metano GPL,tariffe gas,informazionale,long-tail
riscaldamento gas costo,tariffe gas,informazionale,long-tail
bolletta gas alta cosa fare,tariffe gas,informazionale,long-tail
offerte luce e gas,offerte combinate,commerciale,short-tail
offerta dual fuel luce gas,offerte combinate,commerciale,long-tail
migliori offerte luce gas 2025,offerte combinate,commerciale,long-tail
confronto offerte luce e gas,offerte combinate,commerciale,long-tail
cambio fornitore luce e gas,offerte combinate,informazionale,long-tail
risparmio offerta combinata luce gas,offerte combinate,informazionale,long-tail
preventivo luce gas online,offerte combinate,transazionale,long-tail
comparatore luce gas,offerte combinate,transazionale,short-tail
SwitchGas.it,offerte combinate,navigazionale,short-tail
Facile.it luce gas,offerte combinate,navigazionale,long-tail
Enel offerte,fornitori,commerciale,short-tail
Enel Energia luce,fornitori,commerciale,long-tail
Eni gas e luce,fornitori,commerciale,short-tail
Edison energia,fornitori,commerciale,short-tail
A2A luce gas,fornitori,commerciale,short-tail
Iren luce gas,fornitori,commerciale,short-tail
Hera energia,fornitori,commerciale,short-tail
Acea energia,fornitori,commerciale,short-tail
Illumia luce gas,fornitori,commerciale,short-tail
Octopus Energy Italia,fornitori,commerciale,long-tail
Plenitude Eni offerte,fornitori,commerciale,long-tail
Sky Wi-Fi luce,fornitori,commerciale,long-tail
E.ON energia,fornitori,commerciale,short-tail
Axpo energia,fornitori,commerciale,short-tail
Optima Italia luce gas,fornitori,commerciale,long-tail
come cambiare fornitore luce,cambio fornitore,informazionale,long-tail
cambio fornitore luce tempi,cambio fornitore,informazionale,long-tail
recesso contratto luce gas,cambio fornitore,informazionale,long-tail
penale cambio fornitore,cambio fornitore,informazionale,long-tail
portabilità numero luce gas,cambio fornitore,informazionale,long-tail
codice POD luce,cambio fornitore,informazionale,short-tail
codice PDR gas,cambio fornitore,informazionale,short-tail
voltura contatore luce,cambio fornitore,informazionale,short-tail
voltura contatore gas,cambio fornitore,informazionale,short-tail
subentro contatore luce,cambio fornitore,informazionale,long-tail
attivazione fornitura luce,cambio fornitore,informazionale,long-tail
contratto energia a distanza,cambio fornitore,informazionale,long-tail
